,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Country name
69,Fire Fighting Systems (Far East) Pte Ltd,"Fire Fighting Systems (F.E) provides total fire-fighting solutions to various FiFi classes on tugs and other workboats. The complete package comprises equipment such as water monitors, pumps and controls systems, plus services in accordance with all class society requirements. It has a production plant in Åmål in Sweden and engineering centres in Norway and Singapore. FFS’s product range includes pumps with drivers, gearboxes, monitors, foam mixers, deluge systems, remote control systems and related equipment. FFS designs its own FiFi pumps, which are manufactured in nickel-aluminium bronze or",Stand: E-N08,No Data,No data,No Data,No Data,No Data
70,FLEMINGS SAFETY PTE LTD,"Established in 1994, Flemings Safety is specialised in manufacturing and supplying of safety apparels and Personal Protective Equipment to various markets and industries. Our extensive range of products includes Flame Retardant Clothing (FRC), Industrial Cotton Workwear, Uniforms, Spill Control supplies, Head to Toe PPE such as safety helmet, safety eyewear, hearing protection, respiratory protection, protective gloves and everything you need in any work conditions. Backed by a competent team of professionals at our core, we provide dependable solution, reliable services and competitive pricin",Stand: D-S42,https://www.flemings-safety.com/,(+65) 6442 7383,mailto:SALES@FLEMINGS-SAFETY.COM,https://www.linkedin.com/company/flemings-safety,Singapore
71,FLIR DETECTION INC (SINGAPORE BRANCH),"Teledyne FLIR designs, develops, manufactures, markets, and distributes technologies that enhance perception and awareness. We bring innovative sensing solutions into daily life through our thermal imaging, visible-light imaging, video analytics, measurement and diagnostic, and advanced threat detection systems.",Stand: D-U01,https://www.flir.asia/applications/marine/,(+65) 93686377,mailto:simon.see@teledyneflir.com,No Data,Singapore
72,FSE SAFE Projects Pte Ltd,"FSE SAFE Projects Pte Ltd, Singapore (HQ) suppliers to Oil & Gas, Petro-Chemicals and Refineries, Martime and Shipbuilding, Renewables and other related industries. Project supply worldwide for all Mechanical - Electrical - Instruments - Safety. Core Products supply: Explosion Proof Products Marine and Offshore Equipment Man Overboard Rescue Safety Fire and Marine Safety Safety Signage and Pipe Marking and Labeling Working at Heights Safety",Stand: E-Q08,https://www.fsesafe.com/,(+65) 66354526,mailto:sales@fsesafe.com,https://www.linkedin.com/company/fsesafe-singapore/,Singapore
73,Furuno Singapore Pte Ltd,"Furuno Singapore is a leading global provider of products and services for the Maritime, Oil & Gas industries. With fully integrated facilities and guided by ISO 9001 and OHSAS 18001 certification accredited by DNV, we provide turnkey solutions encompassing Design & Engineering, Supply, Installation and Commissioning of key systems. With more than 40 years of experience, Furuno Singapore continues to deliver quality integrated solutions, products and services to meet the full requirements and satisfaction of all its customers.",Stand: E-N02,https://www.furuno.sg/,(+65) 67458472,mailto:sales@furuno.sg,https://www.linkedin.com/company/furuno-singapore,Singapore
74,Garmin Corporation (Asia),No Data,Stand: D-T02,No Data,No data,No Data,No Data,Singapore
75,Gealubes Consulting & Trading Pte Ltd,"""GEALUBES is the authorized PANOLIN Marine Business Distributor in Singapore. PANOLIN is an independent high performance lubricant manufacturer with headquarters in Switzerland. The company was established in 1949 and has its core competence in the development of high performing Environmentally Acceptable Lubricants (EAL) for more than 35 years. PANOLIN focuses on fully synthetic (saturated ester technology), biodegradable, minimally toxic and non-bioaccumulating lubricants.",Stand: E-J16,https://www.gealubes.com.sg/,(+65) 6322 0830,mailto:marine@gealubes.com.sg,https://www.linkedin.com/company/gealubes/,Singapore
76,Georg Schunemann GmbH,"Schünemann has been successfully active for more than 80 years with technical competence and experience in the areas of special valves (High pressure, Seawater Valves), filters and filtration systems. Our products have high quality requirements and are partially used under extreme conditions.",Stand: E-M13,https://www.sab-bremen.de/en,(+49) 55909 24,mailto:nagel@sab-bremen.de,No Data,Germany
77,Global Echo,No Data,Stand: F-E11,No Data,No data,No Data,No Data,Korea
78,GLOBAL ECHO,SOx scrubber system manufacturer -. Full turnkey provider -. 3months lead time -. 2weeks down time,Stand: F-E11,https://www.ms-sox.com/,(+82) 1074142933,mailto:sales@ms-sox.com,https://www.linkedin.com/company/74349324/admin/,South Korea
79,Global Fire Solution Pte Ltd,"Global Fire Solution Pte Ltd (GFS) is a ISO: 9001, 14001, 45001 accredited company. We manufacture a wide range of fire-fighting foams for all industries and chemicals, mainly for maritime sector, under the GLOBALCHEM brand. GFS strives to maintain innovative foam concentrate products by moving toward developing more fluorine free products. Our vision is to build strong customer relationships that have confidence in our ability to provide a wide range of foam concentrates and chemicals of the highest quality.",Stand: E-P35,https://www%2Cgfsglobalchem.com/,(+65) 68977086,mailto:gfs@gfsglobalchem.com,No Data,Singapore
80,GLOBAL MARINE SAFETY SINGAPORE PTE LTD,"We emphasize training and personal development for all of our team members. Global Marine Safety’s pledge to quality is backed by accreditations by top safety bureaus around the globe. Our quality management system is ISO 9001 : 2015 accredited by Global Group. Global Marine Safety is also certified by ABS, BV, DNV, GL, IRS, KR, LR, Class NK, RINA, RS, U.S Department of Transportation (U.S DOT), TUV, SUD and PSB. Through our worldwide subsidiaries such as China, USA and Asia, Global Marine Safety is positioned to serve the global market.",Stand: E-P36,http://www.gms.com.sg/,No data,mailto:GMS@GMS.COM.SG,No Data,Singapore
81,Griffin Group International Pte Ltd,"Griffin Group is a global provider of products and services for the filtration industry, utilizing proprietary technology developed from over 40 years of professional experience purifying petroleum-contaminated seawater. To best serve its customers, Griffin has developed an international distribution network. Its filtration technology and support are available to customers worldwide. Griffin has ABS Type Approval by the American Bureau of Shipping for its MAS and GFS series of fully stainless steel fuel filter water separators. Griffin’s filtration expertise extends from its flagship fuel filt",Stand: E-Q28,https://griffinfilter.com/,(+65) 6570 0670,mailto:info@griffinfilter.com,No Data,Singapore
82,Gyeongnam Marine Equipment Association (GMEA),"GMEA, Gyeongnam Marine Equipment Association, is a non-profit association that represents about 1,000 marine shipbuilding and offshore equipment manufacturers in Gyeongsangnamdo province, as a center of Korean shipbuilding, offshore and LNG industries.",Stand: F-D03,https://www.gmea.or.kr/,(+82) 1072613338,mailto:2pearl@gmea.or.kr,No Data,South Korea
83,HamiltonJet Pte Ltd,"HamiltonJet Pte Ltd was formed in 1939, located at the workshop of Irishman Creek Station. HamiltonJet Pte Ltd grew out of a combination of CWF Hamilton Engineering and CWF Hamilton Marine, the two main subsidiary companies in the Hamilton Group. As the popularity of jet boats and waterjet propulsion increased rapidly throughout the 1960s and 70s, Hamilton Engineering was producing a large number of marine jet units along with its industrial equipment. During the late 1970s and early 1980s the company made the decision to concentrate on the production of waterjet units and hydraulics.",Stand: F-D19,https://www.hamiltonjet.com/,(+65) +65 6567 2202,mailto:marketing@hamiltonjet.sg,https://www.linkedin.com/company/313583/admin/,Singapore
84,Hamworthy Pumps Singapore Pte Ltd.,"Hamworthy pumps technology has a hundred year history of innovation led by some of the most respected brands in the industry e.g Kværner, Eureka, Dolphin & Hamworthy. The company was dated back to 1889 and became a renowned maker of pumps & system equipments in the marine & offshore industry. Hamworthy Pumps and pumping systems are used in much of the world's fleet and have won wide acclaim for their reliability, accessibility & efficiency. Our continued research and development has led to the introduction of a series of pumps to better serve the shipping industry, both in terms of operational",Stand: F-E28,https://www.hamworthy-pumps.com/,(+65) 88780004,mailto:jsk@hamworthy-pumps.com,https://www.linkedin.com/company/14046681/,Singapore
85,"Hangzhou HuaYan Digital Electronics Co.,Ltd","Hangzhou HuaYan digital electronic co., LTD. Is a national high-tech enterprise, specializing in the production and sales of Marine internal communications, General emergency alarm system engine room combination alarm system bridge duty alarm system, fire alarm control system, fixed local water-based fire extinguishing system, closed-circuit television monitoring systems, wiper, rotating equipment, including Windows and primary-secondary clock. lt is for export ships, military auxiliary ships, civilian ships and Marine platforms, etc. The company adheres to the ""people-oriented"" business philo",Stand: E-L41,http://www.hzhuayan.com/,(+65) 88096927,mailto:terry@kings.sg,No Data,China
86,HAPCON AUTOMATION TECHNOLOGY,No Data,Stand: D-U06,No Data,No data,No Data,No Data,Singapore
87,Hatchtec Marine Service Limited,"Hatchtec Marine Service, an ISO 9001:2015 company specialised in deck machinery. HQ based in Shanghai with offices in Guangzhou, Hong Kong & Singapore. Service stations are located in Zhoushan and Jiangsu (China) providing professional and quality service for Hatch Covers, Grabs, Cranes, Windlass & Winches to our customers locally & globally.",Stand: E-L33,https://www.hatchtec.com/,(+65) 62612757,mailto:sg@hatchtec.com,https://www.linkedin.com/in/hatchtec-marine-service-b0a520194,China
88,Heatec JieTong Pte Ltd,"Heatec Jietong is a leading provider of piping and heat exchanger services for the marine, petrochemical, oil & gas industries. Our core business activities are in the provision of heat exchanger servicing and fabrication. Heatec Jietong services various types of heat exchangers that are utilised on board marine vessels and onshore petrochemical plants and refinery. Our heat exchanger services include on-site inspection, engineering, consultancy, fabrication and restoration of main engine charged air coolers, plate coolers, condensers, heaters, freshwater generators and other heat transfer app",Stand: E-P01,http://www.heatecholdings.com/,(+65) 6861 1433,mailto:sales@heatec.com.sg,No Data,Singapore
89,Heatmaster,"We design heating systems for shipping and industry, utilizing heating media such as thermal oil, hot water and steam. Heatmaster specializes in Heat System Design: Even for the most complex of heating requirements, we create robust system designs that stand out for their durability, reliability and high efficiency. Moreover, our heating systems are easy to control and read out, thanks to their user-friendly interfaces. That is the Art of Heat System Design. The latest developments are our Organic Rankine cycle to create electricity from waste heat AND the use of LNG and Methanol in our burner",Stand: E-J36,https://www.heatmaster.nl/,(+31) 615437884,mailto:pb@heatmaster.nl,https://www.linkedin.com/company/heatmaster-bv/mycompany/,Netherlands
90,Hensoldt,"Haase, Flemming HENSOLDT's vision is to be your global partner for competitive premium electronics and solutions to meet the demand of the future Commercial Shipping Market. HENSOLDT will be presenting its innovative range of capabilities for Commercial Bridge Systems. With this being our core focus, we will be highlighting a number of products from the Manta NEO solution including our Manta NEO Integrated Navigation System and new X-band Radar.HENSOLDT - The future of safe navigation",Stand: E-K10,No Data,No data,No Data,https://www.linkedin.com/company/17896121/admin/,United Kingdom
91,Highlander Marine (Asia-Pacific) Pte Ltd,"MANUFACTURER OF VOYAGE DATA RECORDERS, RADARS, ECDIS - SALES & SERVICE OF MARINE NAVIGATION AND COMMUNICATION EQUIPMENT/SYSTEMS - SAFETY RADIO SURVEY ON BEHALF OF CLASSIFICATION SOCIETIES - VOYAGE DATA RECORDER ANNUAL PERFORMANCE TEST - SYSTEM INTEGRATOR OF MARINE NAVIGATION & COMMUNICATION SYSTEMS - TRAINING, APPOINTMENT OF SALES & SERVICE AGENTS & ENGINEERS",Stand: D-S31,https://www.highlander.sg/,(+65) 6377 3096,mailto:SALES@HIGHLANDER.SG,No Data,Singapore
92,Highlander Marine (Asia-Pacific) Pte Ltd,"MANUFACTURER OF VOYAGE DATA RECORDERS, RADARS, ECDIS - SALES & SERVICE OF MARINE NAVIGATION AND COMMUNICATION EQUIPMENT/SYSTEMS - SAFETY RADIO SURVEY ON BEHALF OF CLASSIFICATION SOCIETIES - VOYAGE DATA RECORDER ANNUAL PERFORMANCE TEST - SYSTEM INTEGRATOR OF MARINE NAVIGATION & COMMUNICATION SYSTEMS - TRAINING, APPOINTMENT OF SALES & SERVICE AGENTS & ENGINEERS",Stand: D-S31,https://www.highlander.sg/,(+65) 6377 3096,mailto:SALES@HIGHLANDER.SG,No Data,Singapore
93,Highlander Marine (Malaysia) Sdn Bhd,No Data,Stand: D-S31,No Data,No data,No Data,No Data,Malaysia
94,"HLB Networks Co., Ltd.(ex, Hyundai Lifeboats)","As manufacturer of lifeboats, release gears, marine engine and safety equipment, HLB Hetworks Co., Ltd.(Hyundai Lifeboat) is providing services and supplying genuine spare parts for lifesaving equipment.",Stand: F-H38,No Data,No data,No Data,No Data,No Data
95,HMS Far East Pte Ltd,"The leading marine suppliers in merchant shipping, we supply you with everything your on-board crew requires. Our customers also benefit from a wide range of extra services in the field of professional budget, order and supplier management.",Stand: E-M33,https://www.hms-services.com/,(+65) 62767890,mailto:info@hmsfareast.com,No Data,Singapore
96,Hoe Seng (S.K.) Pte Ltd,"Workwear, Footwear various types of PPE. Serving your fleet from Asia and beyond.",Stand: F-F38,https://www.industrialuniform.com.sg%20https//www.workXwear.com,(+65) 67476384,mailto:sales@industrialuniform.com.sg,No Data,Singapore
97,"Honeywell Analytics Asia Pacific Co., Ltd.","Honeywell manufactures a full and comprehensive range of gas detection products dedicated to all types of industrial facilities, from smaller boiler rooms to large petrochemical plants and ship building . Honeywell’s wide range of technologies and devices – gas detectors, flame detectors, natural gas alarms – provide exceptional protection at every level, ensuring the most favorable coverage, detection, hazard mitigation and life protection. Get the specific gas detection product you need and benefit from quality, functionality and ease of use.",Stand: E-H26,https://sps.honeywell.com/us/en,(+82) +61481462579,mailto:mandy.lubbe@honeywell.com,https://www.linkedin.com/company/honeywell/,South Korea
98,Honeywell Marine,No Data,Stand: E-J07,No Data,No data,No Data,No Data,Singapore
99,HOPPE SINGAPORE PTE LTD,No Data,Stand: D-U06,No Data,No data,No Data,No Data,Singapore
100,hpTECHNIK GmbH,"Oilpumps and pumpsets, filters, valves and oilmeters. Monarch nozzles for spay applications.",Stand: E-M20,No Data,No data,No Data,No Data,No Data
101,HSK workXwear Solutions Sdn Bhd,No Data,Stand: F-F38,No Data,No data,No Data,No Data,Singapore
102,Humphree,No Data,Stand: E-L02,No Data,No data,No Data,No Data,No Data
103,Hydrive Engineering,No Data,Stand: E-Q38,No Data,No data,No Data,No Data,Australia
104,Hydromaster Propulsion,"Valued for its sturdy fully-mechanical design, Hydromaster thrusters propel hundreds of ferries, barges and pontoons worldwide every day – from remote locations with no support facilities, demanding environments of marine contractors and the armed forces to state-of-the-art hybrid or full electric propulsion systems.",Stand: E-J26,No Data,No data,No Data,No Data,Netherlands
105,ICF International Pte Ltd,"ICF Group is a market leader in Asia for marine interior refurbishment. With more than 33 years of turnkey solutions, we have a wealth of knowledge that covers the Cruise & Ferry, Oil & Gas, Offshore, New Builds and Super Yacht sectors. We are a one stop solution, providing design, planning, engineering, construction and delivery; such as structural steelwork, piping, HVAC, electrical and logistics support - all coordinated from our Singapore based headquarters to any part of the world.",Stand: E-P02,https://icfint.com/,No data,No Data,No Data,"101 Eunos Ave 3, Singapore 409835"
106,IMC Shipping,"IMC Shipping is the shipping arm of IMC Industrial Group, comprising IMC Dry Bulk, IMC Tankers and IMC Ship Services, as well as IMC Technical Services and IMC Solution Shipping . With a strong global presence and strategic position in Asia, IMC Shipping aims to be the preferred Asia-based Maritime Service Platform offering a wide range of services and solutions to the industry.",Stand: E-Q12,https://imcindustrialgroup.com/,(+65) 63362233,mailto:lowmeiyen@imcindustrialgroup.com,https://www.linkedin.com/company/imc-industrial-group/,Singapore
107,Industmarine,"Industmarine Engineers Pte Ltd’s continual distinction in embodying our core philosophies of innovation, the human touch and active engagement has helped establish our company as a regional leader for providing products and services pertaining to the marine industry. Today we offer a myriad of solutions to all major shipyards, ship owners, consultants, government bodies, power stations as well as the offshore industry. At Industmarine, we are fully committed to optimising the performance of our customers’ processes and helping them achieve their goals.",Stand: E-Q26,https://www.industmarine.com/,No data,No Data,No Data,Singapore
108,Inmarsat,No Data,Stand: F-E33,No Data,No data,No Data,No Data,United Kingdom
109,Innovative Manufacturing,No Data,Stand: E-P07,No Data,No data,No Data,No Data,United Kingdom
110,"Institute of Marine Engineering, Science and Technology (IMarEST)","The IMarEST is one the world's biggest membership and professional bodies for all practitioners in the marine and maritime industry. It supports over 20,000 members and over 100 organisations globally with its membership, accreditation, publication , and events services.",Stand: D-S38,https://www.imarest.org/,(+65) 64720096,mailto:andrew.wong@imarest.org,https://www.linkedin.com/company/the-institute-of-marine-engineering-science-and-technology-imarest/mycompany/,Singapore
111,Intellian Singapore Pte Ltd.,"Intellian is driven by a passion for innovation and an agile responsiveness to customer needs. As the crucial link between satellite networks and millions of people on Earth, Intellian’s leading technology and antennas empower global connectivity across oceans and continents, organizations and communities. Strategic thinking, an obsession with quality and a proven ability to deliver enables Intellian to invent for the future, creating mutual success for partners and customers as the world’s connectivity needs evolve. For more information, follow @Intellian and visit intelliantech.com.",No data,https://www.intelliantech.com/en/home,(+82) 25112244,mailto:marketing@intelliantech.com,https://www.linkedin.com/company/intelliantech,South Korea
112,Intermarine Group,No Data,Stand: F-G38,No Data,No data,No Data,No Data,Russia
113,Japan Radio Company (JRC),No Data,Stand: F-G02,No Data,No data,No Data,No Data,Japan
114,Jason Electronics (Pte) Ltd,"Jason Electronics is a leading integrated solutions provider of marine communication, navigation and automation systems. Accredited with ISO 9001 and ISO 45001, we serve a growing customer base from offices in global maritime hubs such as Singapore, China, Indonesia, Malaysia, Thailand and Europe since 1976. We offer a full spectrum of turnkey, innovative solutions that cover statutory radio surveys, annual performance tests for VDR, maintenance and after-sales services to Marine and Offshore Oil & Gas industries. Satellite airtime services are available to complement our expanding coms.",Stand: E-Q19,https://www.jason.com.sg/,(+65) 64777700,mailto:sales@jason.com.sg,https://www.linkedin.com/company/jason-electronics-pte-ltd,Singapore
115,Jjtango Electronics Pte Ltd,"Garmin was founded in 1989, and is currently incorporated in Schaffhausen, Switzerland, with headquarters located in the United States. Garmin first set foot in the aviation industry with its cutting-edge GPS navigation products almost three decades ago. Since then, Garmin's product lines have expanded to fully cover the aviation, marine, and automotive industries. Today, Garmin is the renowned leader in the aviation, marine, automotive, outdoor, and fitness markets.",Stand: D-T02,https://www.garmin.com.sg/,(+65) 98256794,mailto:admin@jjtango.com,No Data,Singapore
116,JL Group Engineering Pte Ltd,"JL Group with headquarter in Singapore, has subsidiary factory located in Shanghai China, India hyderabad. Representing office in Korea and Indonesia. JL Group’s main business focuses on Heating, Ventilation, Air Conditioning (JL Marine HVAC) systems, Ventilation Fans and also manufacturing of high-tech advance insulation material “aerogel”. Air Treatment as well as residential and commercial air-conditioning solutions.",Stand: E-P48,https://www.jlmarine.com.sg/,(+65) 90090835,mailto:georgefoo@jlgroupsg.com,No Data,Singapore
117,JMP Corporation,"JMP has been developing Flexible Impeller Pumps along with top quality rubber impellers since 1976. JMP was the first in the country to start with the business and has been expanding their business worldwide starting with a strong lead in Asia and expanding to other parts of the world. As a result, JMP has grown to be a highly reputable and reliable company manufacturing for other brand name marine engine manufacturers. With experience and technology, JMP has shown the quality required in this field which can be shown and proven with their certifications in ISO 9001.",Stand: F-E12,https://www.jmp.co.kr/,(+82) 513027337,mailto:jmp@jmpusa.com,No Data,South Korea
118,JOWA AB,JOWA has supplied the maritime industry with environmental protection equipment for more than 60 years and has earned a solid reputation. Our goal at JOWA is to continuously strive to manage and develop this goodwill. We are specialists in water treatment and protection of the marine environment. Our products are designed to contribute to the global ecology by protecting the marine environment with the latest and best technology. All our products are user friendly systems that are easy to install and operate.,Stand: E-H34,No Data,No data,No Data,https://jowa%20ab/,Singapore
119,Kelantan Electric Co.,"Kelantan Electric Co. (KEC) prides itself as one of Singapore’s few premier Marine and Offshore electrical distributor and stockist. KEC has come a long way since modest inception in the 70’s, with current inventory which includes complete IMPA code 79 electrical range, lighting luminaires, explosion proof equipment and cables. Committed to understanding customers’ needs, offering timely solutions with best business practices, in support by knowledgeable pre-and-post sales team, the last four decades is the best testimony of KEC being your preferred business partner.",Stand: E-J08,https://www.kelantanelectric.com/,No data,No Data,No Data,Singapore
120,KM Kinley Marketing Pte Ltd,"Manufacturer for Dyken water-driven gas freeing fans, Cobolt Roto Rust machines, pneumatic and electrical ventilation fans, high speed mucking winches and etc. Distributor for: SA Equip UK – ATEX explosion-proof fans, Texas Pneumatic (USA) – air mover, JetFan, ASME air manifold, Innovative Manufacturing (Canada) – NoSpray tape, anti-corrosion tape, Cengar (UK) – ATEX air saw, ATEXOR (Finland) – ATEX temporary LED lights and ATEX LED handlamp/headlamp, Nightsearcher (UK) – ATEX LED torchlight/ ATEX LED battery packed LED floodlight/ Solaris LED floodlights, etc.",Stand: E-P07,No Data,No data,No Data,No Data,No Data
121,Kobelt Manufacturing Ltd,"Kobelt Manufacturing Co. Ltd. is a Canadian-based company with almost 60 years of experience developing and producing high quality products for the marine and industrial sectors. The foundation of Kobelt is built on the twin pillars of our engineering strength alongside of our manufacturing capability. Through these two core competencies, we provide our customers with the safest, most trusted solutions for guiding and controlling movement. Kobelt embraces the demanding conditions in the various markets we serve.",Stand: F-G15,https://www.kobelt.com/,(+1) 6045723935,mailto:sales@kobelt.com,No Data,Canada
122,Kohler Singapore Pte Ltd,"For more than a century since 1920, Kohler has earned a global reputation as a pure power expert – in large part to our strict quality standards. Our complete power systems are equipped with Kohler innovation, including generators (residential, industrial, mobile, portable, and marine), automatic transfer switches, parallel switchgear and monitoring controllers and accessories for emergency, prime power and energy-management applications. Enduring the industry’s toughest testing process, every part is built to work with the entire system and perform in the most demanding environments.",Stand: F-E02,https://www.kohlerpower.com/marine,(+65) 96509032,mailto:sales.sg@kohler.com,No Data,Singapore
123,Korea Marine Equipment Association(KOMEA),"KOMEA is providing practical and outward-looking services, carrying out such pillar projects as overseas market development, support operation of overseas workstations and expansion of after-market function. On this context, KOMEA is expanding domestic and overseas cooperation networks, managing and operating Korean pavilions, dispatching of overseas trade mission, cooperative bilateral MOUs around the world, organizing seminar & conference as well as staging technology, certificates and education activities.",No data,http://www.komea.kr/komeaEngMain.do,(+82) 51 972 6477,mailto:we@komea.kr,No Data,South Korea
124,Korindo Energy (Singapore) Pte Ltd,"Headquartered in Singapore, Korindo Energy is a total trusted energy solutions provider for the marine and energy industry. Keeping in mind the importance of our customers’ needs, we aim to provide a sustainable complete lifecycle solution to support our customers throughout their entire projects’ stages. We believe to keep abreast with the current market’s technologies and innovations, along with our vast experience and technical expertise, Korindo Energy is committed to offering a total solution that offers long term cost efficiency while meeting the environmental regulations.","Stand: E-H10, F-F08",https://www.korindo-energy.com/,(+65) 63397661,mailto:sales@korindo-energy.com,https://www.linkedin.com/company/korindo-energy/,Singapore
125,KPM MARINE,No Data,Stand: D-V06,No Data,No data,No Data,No Data,No Data
126,KraftPowercon Sweden AB,"""KraftPowercon offers solutions, products, services – and drives innovation – within industrial power conversion. We create value for customers by ensuring efficient, green, and reliable processes that meet today’s and tomorrow’s demands. We are active in areas such as Electrolysis & Hydrogen, Air Pollution Control/ESP, Marine, PCB & Semiconductors, General Metal Finishing and Uninterruptible Power Systems. Headquartered in Sweden, KraftPowercon started in 1935 and today has five production facilities in Sweden, China and India and sales offices around the world.""",Stand: E-K20,No Data,No data,No Data,No Data,No Data
127,KSB ITUR,No Data,Stand: D-V06,No Data,No data,No Data,No Data,Spain
128,KVH Industries Pte. Ltd,"The leader in maritime VSAT connectivity, KVH provides unique end-to-end solutions that enable fleets worldwide to reap the benefits of digitalization, such as optimized efficiency, improved crew welfare, and cost reductions from real-time data IoT analytics. Commercial fleets worldwide rely on KVH for comprehensive connectivity solutions, including: • mini-VSAT Broadbandsm – No. 1 maritime VSAT network • KVH AgilePlans – Connectivity as a Service – with solutions for regional & global vessels • KVH Watch for dedicated IoT Connectivity & remote intervention for vessels; now with Cloud Connect",Stand: D-S22,https://www.kvh.com/,+65) 6513 0290,mailto:info@apac.kvh.com,https://www.linkedin.com/company/kvh-industries-inc-/,Singapore
129,LEEYOUNGSND,"NO GPS! NO Sensor! The DIGITAL SEXTANT is the world's first developed navigation equipment by LEEYOUNG SND and it can be used to calculate and identify the ship’s position by installing electronic device on the conventional Sextant. The electronic device is the new technology developed to enable a navigation officer to calculate and identify the ship’s position rapidly and conveniently through the embedded computing function that automatically processes all necessary procedures to calculate and identify ship’s position, such as the correction and calculation of Nautical Almanac, drawing LOP,",Stand: F-F28,http://www.leeyoungsnd.com/,(+82) 10-9900-7220,mailto:yslee127@live.co.kr,No Data,South Korea
130,Leistritz Pumpen GmbH,"Leistritz is a globally operating company, privately owned and with products made in Germany. Since 1905, we offer innovative solutions for products, technologies and services with a high level of technical expertise. Leistritz provides screw pumps from L2 to L5 series and FLEXCORE, suitable for a wide range of applications, especially for bi-directional applications!",Stand: E-M25,No Data,No data,No Data,No Data,No Data
131,LFA Global Pte Ltd,"""The company was founded in 1986 in a 1,000 square feet office at Thye Hong Centre. It has since grown into a formidable player in the marine industry. Recognizing the need to stay ahead and to be more competitive in a rapidly globalizing economy, the company was renamed LFA Global Pte Ltd in 2006. This change in name reflects the direction of the business to grow beyond the shores of Singapore and establish a foothold in the global market. LFA Global Pte Ltd runs its office and warehouse from a 22,000 square feet modern facility situated at Gul Lane on the western part of Singapore""",Stand: D-R02,https://www.lfaglobal.com/,(+65) 68619998,mailto:sales@LFAglobal.com,No Data,Singapore
132,Loipart (SEA) Pte Ltd,"Marine Galley, Laundry and Waste Management solution",Stand: F-E20,https://www.loipart.com/,(+65) 67499100,mailto:wenston.yap@loipart.sg,No Data,Singapore
133,M/s ITAJAI MARINE SERVICES PTE LTD,"ITAJAI's office are located in SINGAPORE, UNITED KINGDOM, DUBAI, NETHERLANDS, INDIA and Maintains a vast network of agents present at our main ports of business throughout the GLOBE. We are always one phone call or e-mail away. Our 24/7, 365 work days a year service not only meets but surpasses the expectations of some of the world's largest companies.",Stand: D-V08,https://www.itajaimarine.com/,No data,mailto:sales@itajaimarine.com,No Data,India
134,Mare Supply & Services,"Mare Supply & Services/Turkey, is an all-inclusive solution for ship supply and services with over 25 years of experience in ALL Turkish Ports / Shipyards & Straits. ** Ship Supply – Provisions / Bonded / Technical and Cabin stores / Safety Equipment / Nautical Publications / Etc. ** Ship Repairs & Welding Jobs ** Shipments ** Marine Specialist Services - Hold & Tank Cleaning - Services / Materials / Equipment - Safety Services such as LSA / FFE / Lifeboat / Davit / etc. - Survey Services, such as On-hire & Off-hire / Cargo Hold Condition Observation / etc. - Diving jobs, such as Underwater S",Stand: E-Q36,https://www.maresupply.com/,(+90) 2324486273,mailto:mare@maresupply.com,https://www.linkedin.com/company/mare-supply-&-services,Turkey
135,MARIN,Research for Maritime Industry,Stand: E-K31,https://www.marin.nl/en,(+31) 650691224,mailto:k.kooiker@marin.nl,https://www.linkedin.com/company/marin/,Netherlands
136,Marine International Pte Ltd,"Marine International Pte Ltd has been in the marine supply business for 52 years since 1970. We are dedicated to promoting the company to a higher level of marketing and distribution in the region. Marine International Pte Ltd is set to provide good quality products at affordable prices and high standard customer service. Our Motto: Be honest to our customers and never lose their trust We are currently agents and distributors of some of the world’s finest marine brands like:- Dometic -Air conditioning systems ,Sea Star Solutions -Steering systems- Mechanical/Hydraulic/Electronic , Jabsco /Rule",Stand: E-H08,https://www.marine-intl.com.sg/,(+65) 64473004,mailto:salesinfo@marine-intl.com.sg,No Data,Singapore
137,Marine Jet Power,"For more than 35 years, Marine Jet Power (MJP) has been redefining the waterjet market with innovation and unsurpassed quality. Engineered and built in Sweden, MJP’s proven stainless steel, mixed-flow and aluminum, axial-flow waterjets are used in many diverse applications, from fast military craft and passenger vessels to luxury yachts and workboats worldwide. Over 100 million running hours strong, MJP waterjets are designed with low operating costs and ease of maintenance in mind.",Stand: F-G07,https://www.marinejetpower.com/,No data,No Data,https://www.linkedin.com/company/marine-jet-power,Sweden
138,MARINESAT PTE. LTD.,No Data,Stand: E-L46,No Data,No data,No Data,No Data,Singapore
139,Maritec Pte Ltd,"Maritec Pte Ltd was incorporated in 1999 as a Marine Fuel Testing company. Since then, we have been providing expert Technical and Operational advice for the use of the fuels onboard vessels to an international portfolio of shipping companies. In June 2020, Maritec was acquired by Centre Testing International Group (CTI Group). The Marine Services Division of CTI Group has been fully integrated with Maritec. As the result of the acquisition and integration, we are able to leverage on the resources and strength of CTI Group.",Stand: E-P37,https://www.maritec.com.sg/,(+65) 62718622,mailto:admin@maritec.com.sg,https://sg.linkedin.com/company/cti-maritec,Singapore
